nationality,drivers_count,
British,166,19%
American,158,18%
Italian,99,11%
French,73,8%
German,50,6%
Brazilian,32,4%
Argentine,24,3%
Belgian,23,3%
Swiss,23,3%
South African,23,3%
Japanese,20,2%
Australian,19,2%
Dutch,18,2%
Spanish,15,2%
Austrian,15,2%
Canadian,14,2%
Swedish,10,1%
New Zealander,10,1%
Finnish,9,1%
Mexican,6,1%
Irish,5,1%
Danish,5,1%
Portuguese,4,0%
Monegasque,4,0%
Rhodesian,4,0%
Uruguayan,4,0%
Russian,4,0%
Colombian,3,0%
Venezuelan,3,0%
East German,3,0%
Indian,2,0%
Thai,2,0%
Hungarian,1,0%
Polish,1,0%
American-Italian,1,0%
Chilean,1,0%
Argentine-Italian,1,0%
Liechtensteiner,1,0%
Malaysian,1,0%
Czech,1,0%
Indonesian,1,0%
Chinese,1,0%
Argentinian,1,0%
,861,
